task_create_time, task_end_time, job_id, task_id,number_of_instances, status, number_of_cpus_requested_per_instance_in_the_task,normalized_memory_requested_per_instance_in_the_task
6459,6524,3,4,15740,Terminated,50,0.007956928
6457,6533,3,5,1,Terminated,50,0.004395206
6036,6046,4,7,393,Waiting,,
6036,6046,4,6,452,Waiting,,
10719,11332,15,67,1705,Terminated,50,0.005736029
10718,11164,15,66,631,Terminated,50,0.016007041
10718,10916,15,65,300,Terminated,50,0.018657624
10718,12897,15,64,2003,Terminated,50,0.016007041
11792,11999,18,88,257,Terminated,50,0.013356457
11792,14331,18,82,1559,Terminated,50,0.016007041
11792,12112,18,91,321,Terminated,50,0.013356457
11792,11958,18,89,10,Terminated,50,0.013356457
11792,12173,18,83,387,Terminated,50,0.013356457
11792,11801,18,90,1,Terminated,50,0.004043176
11792,11796,18,84,1,Terminated,50,0.003965522
11792,11957,18,87,115,Terminated,50,0.010498796
11792,11846,18,86,27,Terminated,50,0.016007041
11792,13453,18,85,1414,Terminated,50,0.021308208
11792,12302,18,81,347,Terminated,50,0.013356457
16281,16552,27,147,27,Terminated,50,0.008552274
16281,16396,27,139,103,Terminated,50,0.013356457
16281,16529,27,137,611,Terminated,50,0.008935366
16281,16343,27,149,11,Terminated,50,0.008707582
16281,16338,27,138,15,Terminated,50,0.008531566
16281,16290,27,140,1,Terminated,50,0.004074237
16281,16480,27,141,195,Terminated,50,0.016007041
16281,16328,27,142,54,Terminated,50,0.008050113
16281,16313,27,143,3,Terminated,50,0.00805529
16281,16540,27,145,91,Terminated,50,0.009106205
16281,16332,27,144,2,Terminated,50,0.013356457
16281,16547,27,146,87,Terminated,50,0.008174359
16281,16351,27,150,7,Terminated,50,0.008888774
16281,16558,27,148,23,Terminated,50,0.008019051
16341,16391,28,151,61,Running,50,0.00793622
16341,16391,28,153,407,Failed,50,0.016007041
16341,16391,28,152,23,Running,50,0.013356457
16341,16391,28,154,261,Running,50,0.00820542
21669,21695,44,249,1,Terminated,50,0.004074237
21669,21676,44,244,1,Terminated,50,0.004084591
21669,26168,44,243,721,Terminated,50,0.005736029
21668,25044,44,242,251,Terminated,50,0.005736029
21669,27412,44,240,2199,Terminated,50,0.021308208
21668,29473,44,241,1,Terminated,50,0.004291668
21668,21677,44,245,1,Terminated,50,0.004043176
21669,24779,44,247,892,Terminated,50,0.016007041
21668,24936,44,250,99,Terminated,50,0.008505682
21669,29445,44,248,846,Terminated,50,0.009002666
21669,21695,44,251,1,Terminated,50,0.004079414
21669,21690,44,246,2,Terminated,50,0.004105299
21677,24458,46,261,1651,Terminated,50,0.021308208
21677,21700,46,270,1,Terminated,50,0.004084591
21677,23335,46,262,380,Terminated,50,0.005736029
21677,21684,46,263,1,Terminated,50,0.004043176
21677,26680,46,267,868,Terminated,50,0.008526389
21677,26699,46,260,1,Terminated,50,0.004193306
21677,21700,46,268,1,Terminated,50,0.004084591
21677,23092,46,266,445,Terminated,50,0.016007041
21677,21685,46,264,1,Terminated,50,0.004089768
21677,21695,46,265,2,Terminated,50,0.004074237
21677,23248,46,269,99,Terminated,50,0.008220951
21713,23366,52,329,1656,Terminated,50,0.016007041
21713,23271,52,336,425,Terminated,50,0.016007041
21713,21723,52,340,1,Terminated,50,0.003898222
21712,27149,52,320,805,Terminated,50,0.016007041
21712,27869,52,321,750,Terminated,50,0.008702405
21712,21717,52,327,1,Terminated,50,0.004089768
21713,22211,52,334,335,Terminated,50,0.010167473
21713,21719,52,328,1,Terminated,50,0.005404706
21713,23530,52,337,341,Terminated,50,0.016007041
21713,25618,52,343,735,Terminated,50,0.021308208
21713,24508,52,342,799,Terminated,50,0.016007041
21713,23246,52,338,425,Terminated,50,0.016007041
21712,27616,52,318,933,Terminated,50,0.016007041
21713,23529,52,351,315,Terminated,50,0.016007041
21713,23162,52,350,411,Terminated,50,0.013356457
21713,27881,52,344,5,Terminated,50,0.008107059
21713,21748,52,346,1,Terminated,50,0.004094945
21713,21742,52,330,1,Terminated,50,0.004074237
21712,28387,52,322,1,Terminated,50,0.004110476
21712,26205,52,319,1031,Terminated,50,0.016007041
21713,28056,52,332,537,Terminated,50,0.008697228
21713,21746,52,324,2396,Terminated,50,0.00805529
21713,22326,52,335,279,Terminated,50,0.010457381
21713,23720,52,348,696,Terminated,50,0.016007041
21713,21737,52,341,1,Terminated,50,0.004063883
21713,21991,52,325,890,Terminated,50,0.009468589
21712,22868,52,326,891,Terminated,50,0.016007041
21712,26178,52,317,1021,Terminated,50,0.016007041
21713,28071,52,333,1,Terminated,50,0.00805529
21713,23512,52,339,341,Terminated,50,0.016007041
21713,25533,52,331,735,Terminated,50,0.021308208
21713,27886,52,345,1,Terminated,50,0.004079414
21713,21754,52,347,1,Terminated,50,0.00406906
21713,24500,52,352,799,Terminated,50,0.016007041
21712,21721,52,323,1,Terminated,50,0.004094945
21713,25058,52,349,488,Terminated,50,0.016007041
23213,24427,55,377,509,Terminated,50,0.016007041
23214,23514,55,381,378,Terminated,50,0.016007041
23213,23219,55,380,1,Terminated,50,0.005404706
23213,24645,55,383,493,Terminated,50,0.016007041
23213,23725,55,382,515,Terminated,50,0.016007041
23214,23373,55,379,270,Terminated,50,0.013356457
23213,23218,55,378,1,Terminated,50,0.005404706
23213,24797,55,384,445,Terminated,50,0.008552274
23213,24111,55,376,443,Terminated,50,0.016007041
23307,23577,57,395,75,Terminated,50,0.013356457
23307,23441,57,402,1272,Terminated,50,0.008868066
23307,24398,57,394,241,Terminated,50,0.013356457
23307,23329,57,399,1,Terminated,50,0.004115652
23307,23321,57,400,338,Terminated,50,0.00805529
23307,24469,57,397,261,Terminated,50,0.008536743
23307,23315,57,404,1,Terminated,50,0.004146714
23307,23377,57,405,25,Terminated,50,0.013356457
23307,24082,57,412,358,Terminated,50,0.013356457
23307,24288,57,393,291,Terminated,50,0.013356457
23308,23330,57,409,4956,Terminated,50,0.00805529
23307,23628,57,396,105,Terminated,50,0.00914762
23307,23316,57,398,1,Terminated,50,0.003986229
23307,23317,57,403,1,Terminated,50,0.004022468
23307,23319,57,406,97,Terminated,50,0.004395206
23307,23351,57,410,37,Terminated,50,0.00813812
23307,23338,57,407,8,Terminated,50,0.00914762
23307,23332,57,408,47,Terminated,50,0.00805529
23307,23334,57,401,186,Terminated,50,0.008976782
23307,24224,57,392,453,Terminated,50,0.013356457
23307,23497,57,411,103,Terminated,50,0.009297751
24486,24731,58,413,12,Terminated,100,0.002754122
24800,25059,60,427,451,Terminated,50,0.016007041
24800,25425,60,435,15,Terminated,50,0.00820542
24800,25447,60,425,1,Terminated,50,0.004115652
24800,25215,60,433,379,Terminated,50,0.013356457
24800,25297,60,430,337,Terminated,50,0.008283074
24800,25439,60,428,1,Terminated,50,0.00805529
24800,25324,60,431,5,Terminated,50,0.008050113
24800,25330,60,432,1,Terminated,50,0.003975876
24800,25398,60,434,337,Terminated,50,0.008355551
24800,24808,60,426,1,Terminated,50,0.004037999
24800,25216,60,429,379,Terminated,50,0.013356457
24775,24781,61,437,1,Terminated,50,0.004063883
24775,24927,61,438,319,Running,50,0.013356457
24775,24927,61,446,3,Running,50,0.007951751
24775,24927,61,441,93,Running,50,0.007977636
24775,24927,61,439,1,Running,50,0.004048352
24775,24927,61,443,1,Running,50,0.004037999
24775,24927,61,436,1,Running,50,0.004058706
24775,24927,61,440,131,Running,50,0.009639427
24775,24927,61,445,93,Running,50,0.008029405
24775,24927,61,444,131,Failed,50,0.009639427
24775,24927,61,442,1,Running,50,0.00805529
25913,26063,65,475,417,Terminated,50,0.005736029
25936,26016,67,477,511,Terminated,100,0.005736029
29862,30746,74,516,1214,Terminated,50,0.016007041
29862,42372,74,511,1999,Terminated,50,0.021308208
29862,29909,74,513,51,Terminated,50,0.016007041
29862,29867,74,512,1,Terminated,50,0.004105299
29862,45862,74,517,2000,Terminated,50,0.016007041
29862,38024,74,510,1999,Terminated,50,0.021308208
29862,30277,74,514,1294,Terminated,50,0.013356457
29863,33612,74,515,4004,Terminated,50,0.021308208
32766,32852,76,525,2,Terminated,100,0.002754122
54962,55052,115,667,1,Terminated,50,0.004291668
54965,55040,115,666,15837,Terminated,50,0.007946574
54068,54070,116,673,1,Terminated,50,0.004094945
54068,54150,116,669,21,Terminated,50,0.007848213
54068,54143,116,668,67,Terminated,50,0.007863743
54068,54123,116,672,28,Terminated,50,0.016007041
54068,54092,116,670,17,Terminated,50,0.016007041
54068,54070,116,671,1,Terminated,50,0.004058706
11415,11522,119,680,3102,Terminated,50,0.009732612
11414,11646,119,681,107,Terminated,55,0.01015712
11414,11688,119,682,83,Terminated,50,0.008169182
28539,28584,139,812,1,Terminated,100,0.002754122
26023,26356,141,821,291,Terminated,50,0.008396966
26023,26371,141,817,69,Terminated,50,0.013356457
26023,26389,141,818,53,Terminated,50,0.008195066
26023,26105,141,819,1,Terminated,50,0.016007041
26023,26304,141,820,134,Terminated,50,0.016007041
26023,26399,141,822,9,Terminated,50,0.007946574
26054,26366,144,840,9,Terminated,50,0.007946574
26054,26350,144,836,53,Terminated,50,0.008195066
26055,26233,144,837,1,Terminated,50,0.016007041
26054,26264,144,838,129,Terminated,50,0.016007041
26054,26285,144,839,291,Terminated,50,0.008396966
26054,26326,144,835,69,Terminated,50,0.013356457
26022,26240,147,852,291,Terminated,50,0.008396966
26022,26272,147,848,69,Terminated,50,0.013356457
26022,26321,147,853,9,Terminated,50,0.007946574
26022,26106,147,850,1,Terminated,50,0.016007041
26022,26125,147,851,263,Terminated,50,0.016007041
26022,26306,147,849,53,Terminated,50,0.008195066
26023,26104,148,856,1,Terminated,50,0.016007041
